id,run_id,upgrade_name,level
0045534a-783e-47a1-b1c5-9557a2c8ae56,fd75850e-6df8-4c86-8241-884da7ee6142,Vitalidad II,1
00506fb9-a948-4efc-b44e-ab5202972c56,7f9a2bfb-e0f8-4dd3-9aad-991db4caf9bf,Furia,1
0063c224-1a2d-4e39-b9d5-3345895872de,0c266f69-0927-4d71-b084-d2a9b2ea6880,Codicia,1
006ba777-f3b2-4db6-b967-5bad33e12fe9,0c266f69-0927-4d71-b084-d2a9b2ea6880,Regeneración III,2
0070a3d7-0187-4316-8c36-959c12b83828,79cce2e0-a462-4d63-81d1-e8d2ee2a09fc,Venganza I,1
007cedfc-63bc-4776-8921-14f63960d096,af37841a-5da4-4b27-b085-5b56eaba9bf3,Botas veloces,1
007d2765-ce7a-46e7-a5d7-53af7fee489c,e8e70be3-66e8-4abd-8157-b58ad3ccc5e4,Regeneración III,1
00851868-da39-4781-b84c-8a1d2668ed4f,6f93e1ac-02d4-4851-9145-f230dc3f0436,Regeneración III,1
00896cfd-8d74-4e14-b9c8-66dae438e15e,c3d2f2ab-c4ef-4536-8eb3-12b6f72ca721,Alcance I,1
00c3f1e6-73ca-41ca-97ce-ecdfe64fa749,af37841a-5da4-4b27-b085-5b56eaba9bf3,Pulso II,1
00ccae29-fcb5-4528-a3e7-48e49084b566,5ad6173a-e8c5-467c-84e4-239f7bafba3f,Venganza III,1
010487c7-7a58-4e3b-9b12-078d6c81d5f9,202b46e4-ad32-49b1-a99e-7a43a68118f3,Regeneración legendaria,1
010d6276-7f2e-46b0-9642-e3b08ec84363,b1420e15-afa5-4ddf-add1-b8a2145496f0,Codicia,1
0115cbe8-41af-4279-b008-7bb0be71d877,0af94b2a-fe69-479c-b598-81d3a6b77610,Esquiva II,1
012bfda8-1ef3-493f-bc8e-a46401e9a893,65b2d718-b1e1-4b2e-90c8-b45bf09c8a0c,Regeneración III,1
013666a7-e92e-4797-9e9c-a54bfdde2455,6683724d-4b30-470e-b677-f0abfa3ca6d2,Botas veloces,1
013b4221-f636-44c4-a091-ba0df81ef5f1,12b80902-760c-44ca-ad02-905a58cf4b1e,Venganza II,1
01559563-b8df-4461-b709-9ee2c7d487d4,b6337ca6-0416-46b6-a9ed-a78d8ea4fa08,Sabiduría,1
0161e1f0-9e0a-4fe5-8279-375b75efbfdc,cacce394-6c33-4073-8334-66ead8905bb1,Esquiva I,1
01674be8-89e3-4d27-8584-5783cd787a45,8c8dc550-93e5-4ed0-b7de-35848833931a,Venganza II,2
0175423f-5bd9-43a9-bf83-3915b21646de,bd4d300a-53d4-4b24-ad46-64d19ab0e84c,Botas ligeras,2
01970888-51eb-44c5-8a51-f5b7adea5de0,81b98eed-3c9b-4dac-a7cf-101b8d758192,Vampirismo II,1
019ac760-58a9-4a3c-9447-229b2ca1a2f7,0c266f69-0927-4d71-b084-d2a9b2ea6880,Furia,1
01ae4237-3a76-438e-a254-8464a74c2392,7f9a2bfb-e0f8-4dd3-9aad-991db4caf9bf,Venganza letal,1
01d222c1-92a1-428b-9651-90a39af7ba75,9d8bbd50-38f6-4adb-b6bd-75316bcbdefc,Regeneración III,1
01e1a581-e8e8-44b5-98c2-824185b34a47,6f7225e5-b6d0-4c5c-aa6a-bbe232c5997d,Cadencia I,2
01e5f90f-481c-4c6f-8db8-0da7097f8a9b,00cb4abd-c3c4-445a-9e1a-4eef1cd73545,Botas veloces,2
01e79917-1cfa-4d4a-9205-ef9e83ec898b,634e38f9-b18e-4f50-9032-7a9cd74c0cb3,Alcance II,1
01ef692d-d3ba-4fdb-80fc-5adae0a27333,fd1e77bb-7d0a-4c7f-8dbc-66e1a1900f98,Daño I,2
01f4e2e0-fcaa-4bad-a027-773a2c6578cc,b7927167-a7db-4e53-8ca9-c44109513a9c,Trébol,2
01f9ea89-6bbd-4a77-8b10-9c70a2e420c3,dd46af74-5e44-481c-961c-44a1df094eb7,Puntería I,1
02026602-23e6-4766-b171-31e04d06b011,7a2a5f50-6269-4136-867f-01efe12eb3b1,Pulso II,1
02043f64-c80b-4677-a8d4-91764866f3bb,996ab3fb-c28a-4951-a2af-8850a2aaf382,Daño I,1
